uid,snd,run,time,target,generation,logsigma,parvec,submit
3001,abstract,1,13.8768270016,happy,4,-1.0,"[0.5028731674548259, 0.5275609094760213, 0.3231195476197856, 0.5545336994552438, 0.5016901984643003, 0.16396899959518035, 0.04439166474310917, 0.0, 0.0, 0.5774921800394015, 0.42097696320322986]",0
3001,abstract,1,15.616932869,happy,6,-1.2,"[0.5028731674548259, 0.5275609094760213, 0.3231195476197856, 0.5545336994552438, 0.5016901984643003, 0.16396899959518035, 0.04439166474310917, 0.0, 0.0, 0.5774921800394015, 0.42097696320322986]",1
3001,abstract,1,15.7784249783,surprised,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,15.9479038715,angry,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,16.1608638763,afraid,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,16.2994570732,disgusted,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,16.7411680222,sad,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,17.0539250374,calm,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,17.5613780022,neutral,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
