uid,snd,run,time,target,generation,logsigma,parvec,submit
3001,abstract,1,10.0686740875,happy,5,-1.2,"[0.5995464071043672, 1.0, 0.8069604096025871, 0.813885938588818, 0.7139301214625842, 0.44988319726331427, 0.32455769816489144, 0.35983788542787654, 0.0, 0.4013952999251913, 0.7188833447002232]",1
3001,abstract,1,10.4823641777,surprised,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,10.5824542046,angry,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,10.7627592087,afraid,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,10.9304931164,disgusted,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,11.1010119915,sad,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,11.2495701313,calm,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,11.5517191887,neutral,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
