uid,snd,run,time,target,generation,logsigma,parvec,submit
3001,abstract,1,10.7682921886,happy,3,-1.0,"[0.5184160520557864, 0.9023173159281229, 0.20402588524305892, 0.024521080342038593, 0.8158598886354187, 0.1245757078763643, 0.020738693874442896, 0.1907360516987325, 0.0, 0.6146160622584422, 0.42765039950789807]",0
3001,abstract,1,11.8956000805,happy,4,-1.2,"[0.5184160520557864, 0.9023173159281229, 0.20402588524305892, 0.024521080342038593, 0.8158598886354187, 0.1245757078763643, 0.020738693874442896, 0.1907360516987325, 0.0, 0.6146160622584422, 0.42765039950789807]",1
3001,abstract,1,12.0188469887,surprised,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,12.1870701313,angry,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,12.3367471695,afraid,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,12.4888851643,disgusted,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,12.6387000084,sad,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,12.7899971008,calm,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,12.941614151,neutral,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
