uid,snd,run,time,target,generation,logsigma,parvec,submit
3001,vocal,2,21.0984261036,happy,1,-1.0,"[0.5637054443359375, 0.0, 0.6333333253860474, 0.0, 0.0, 0.4615384638309479, 0.5, 0.0, 0.0, 0.625, 0.5, 0.375]",1
3001,vocal,2,22.5610420704,surprised,1,-1.0,"[0.5637054443359375, 0.0, 0.6333333253860474, 0.0, 0.0, 0.4615384638309479, 0.5, 0.0, 0.0, 0.625, 0.5, 0.375]",1
3001,vocal,2,23.468307972,angry,1,-1.0,"[0.5637054443359375, 0.0, 0.6333333253860474, 0.0, 0.0, 0.4615384638309479, 0.5, 0.0, 0.0, 0.625, 0.5, 0.375]",1
3001,vocal,2,24.441008091,afraid,1,-1.0,"[0.5637054443359375, 0.0, 0.6333333253860474, 0.0, 0.0, 0.4615384638309479, 0.5, 0.0, 0.0, 0.625, 0.5, 0.375]",1
3001,vocal,2,25.3469769955,disgusted,1,-1.0,"[0.5637054443359375, 0.0, 0.6333333253860474, 0.0, 0.0, 0.4615384638309479, 0.5, 0.0, 0.0, 0.625, 0.5, 0.375]",1
3001,vocal,2,26.425383091,sad,1,-1.0,"[0.5637054443359375, 0.0, 0.6333333253860474, 0.0, 0.0, 0.4615384638309479, 0.5, 0.0, 0.0, 0.625, 0.5, 0.375]",1
3001,vocal,2,28.2011730671,calm,1,-1.0,"[0.5637054443359375, 0.0, 0.6333333253860474, 0.0, 0.0, 0.4615384638309479, 0.5, 0.0, 0.0, 0.625, 0.5, 0.375]",1
3001,vocal,2,29.988902092,neutral,1,-1.0,"[0.5637054443359375, 0.0, 0.6333333253860474, 0.0, 0.0, 0.4615384638309479, 0.5, 0.0, 0.0, 0.625, 0.5, 0.375]",1
