uid,snd,run,time,target,generation,logsigma,parvec,submit
3001,abstract,1,13.3036270142,happy,6,-1.0,"[0.6730961292590131, 0.1498249033102901, 0.4153159226362449, 0.3750227060010868, 0.6390449234478643, 0.0, 0.1889741220320698, 0.23679387238386934, 0.19078702993956095, 0.3765938828791331, 0.4311093055621473]",0
3001,abstract,1,18.5260660648,happy,11,-1.2,"[0.32279176595950326, 0.0, 0.4914646912092974, 0.0, 0.8443534268867009, 0.0, 0.9185016168569369, 0.2173362965902263, 1.0, 0.2841760308254997, 0.1260026025915164]",1
3001,abstract,1,19.0367670059,surprised,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,19.2044181824,angry,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,19.3869001865,afraid,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,19.5708270073,disgusted,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,19.7376830578,sad,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,20.0618200302,calm,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,20.0901350975,neutral,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
