uid,snd,run,time,target,generation,logsigma,parvec,submit
3001,abstract,1,14.2511789799,happy,5,-1.2,"[0.4925857985241757, 0.0031332173601795466, 0.3215235105911856, 1.0, 0.10001234238312767, 0.2463710062811277, 0.2592611009430321, 0.3998115079343529, 0.10422522555507703, 0.0, 0.7009257451749051]",1
3001,abstract,1,21.2111570835,surprised,5,-1.2,"[0.21832170569264425, 0.0, 0.7527766323781143, 0.540788752168949, 0.5450626325629119, 0.15986668216063968, 0.0, 0.1661904275587737, 0.0, 0.7621686037630853, 0.7658258338877866]",1
3001,abstract,1,21.430945158,angry,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,21.7218761444,afraid,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,21.7807610035,disgusted,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,21.9508330822,sad,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,22.3400280476,calm,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,22.34091115,neutral,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
