uid,snd,run,time,target,generation,logsigma,parvec,submit
3001,abstract,1,10.403719902,happy,3,-1.0,"[0.09218032220399192, 0.16556149355262975, 0.8454359496546426, 0.39736538889424156, 0.1993189191531266, 0.13084083428606005, 0.0, 0.0, 0.0, 0.27798648824377414, 0.37452179263705737]",0
3001,abstract,1,14.4030230045,happy,4,-1.2,"[0.09218032220399192, 0.16556149355262975, 0.8454359496546426, 0.39736538889424156, 0.1993189191531266, 0.13084083428606005, 0.0, 0.0, 0.0, 0.27798648824377414, 0.37452179263705737]",1
3001,abstract,1,14.5350670815,surprised,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,14.7355549335,angry,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,14.8721370697,afraid,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,15.0344281197,disgusted,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,15.1866168976,sad,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,15.3553240299,calm,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,15.5058500767,neutral,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
