uid,snd,run,time,target,generation,logsigma,parvec,submit
3001,abstract,1,10.3442289829,happy,3,-1.0,"[0.5842302874714269, 0.6375073821033699, 0.4659114872263186, 0.7619158981412015, 0.0, 0.0, 0.2666278476971804, 0.01656342092669351, 0.13674938679455834, 0.32373725388793523, 0.20045851913525592]",0
3001,abstract,1,13.0058250427,happy,6,-1.2,"[1.0, 0.7934229438545104, 0.0, 0.8935659140140488, 0.0, 0.0, 0.9066065827517651, 0.18449981166683543, 0.09341271104429276, 0.0, 0.0]",1
3001,abstract,1,13.1726150513,surprised,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,13.3409800529,angry,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,13.5115349293,afraid,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,13.6451749802,disgusted,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,13.8173398972,sad,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,14.2353680134,calm,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,15.2585408688,neutral,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
