uid,snd,run,time,target,generation,logsigma,parvec,submit
3001,abstract,1,21.2869079113,happy,10,-1.4,"[0.5821353514142541, 0.5243339872549093, 0.8850710701180269, 0.0, 0.54214060557069, 0.0, 0.0, 0.44760221129136846, 0.0, 0.9721313118462885, 0.9323577741509522]",1
3001,abstract,1,22.1068379879,surprised,1,-1.4,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,22.5255379677,angry,1,-1.4,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,22.9245378971,afraid,1,-1.4,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,23.7437880039,disgusted,1,-1.4,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,25.3828229904,sad,1,-1.4,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,27.8477571011,calm,1,-1.4,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,29.2759730816,neutral,1,-1.4,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
