uid,snd,run,time,target,generation,logsigma,parvec,submit
3001,abstract,1,13.3344109058,happy,5,-1.0,"[0.15231464200292688, 0.8357804323224335, 0.274446720704289, 0.773925741080312, 0.6790150281759967, 0.08678624446259006, 0.0, 0.0, 0.42745125618003077, 0.5536707089250202, 0.4989363837219128]",0
3001,abstract,1,14.8674998283,happy,10,-1.2,"[0.15231464200292688, 0.8357804323224335, 0.274446720704289, 0.773925741080312, 0.6790150281759967, 0.08678624446259006, 0.0, 0.0, 0.42745125618003077, 0.5536707089250202, 0.4989363837219128]",1
3001,abstract,1,14.9605369568,surprised,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,15.1112818718,angry,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,15.2611238956,afraid,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,15.6788368225,disgusted,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,15.7665657997,sad,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,15.9150779247,calm,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,16.7077009678,neutral,1,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
